| error_severity | event_message                                                                                                                                                                       | id                                   | identifier           | timestamp        |
| LOG            | connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)       | ef5633ef-895d-4d80-b269-5795e2752947 | rrqefsxymripcvoabers | 1744747796908000 |
| LOG            | connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                                 | 796dde72-cc8b-4f7d-be14-57bce7fb5228 | rrqefsxymripcvoabers | 1744747796908000 |
| LOG            | connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)       | 20ecf4c8-80e6-4623-90bd-a68f5d4d7591 | rrqefsxymripcvoabers | 1744747796908000 |
| LOG            | connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                                 | d079f421-b4fc-4945-a00c-7aee5d496cec | rrqefsxymripcvoabers | 1744747796908000 |
| LOG            | connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                           | 8a8159da-0c34-4ced-8c75-00a55a7c5185 | rrqefsxymripcvoabers | 1744747796709000 |
| LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256) | 353d2c06-c3ce-4e96-829b-379870bed632 | rrqefsxymripcvoabers | 1744747796709000 |
| LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256) | 3c67d938-ee86-48f2-a241-0b41747c2997 | rrqefsxymripcvoabers | 1744747795244000 |
| LOG            | connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                           | 162b63ec-b123-4272-893e-132f0bc6fda4 | rrqefsxymripcvoabers | 1744747795244000 |
| LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256) | 797b444b-7741-409a-a72f-f61909bedbd7 | rrqefsxymripcvoabers | 1744747795243000 |
| LOG            | connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                           | 0ba1c4e3-3e06-430c-9463-8f1a803472b8 | rrqefsxymripcvoabers | 1744747795243000 |
| LOG            | connection authenticated: identity="supabase_admin" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                           | 72e055af-2b6d-4d89-acbd-70f6bc9212d8 | rrqefsxymripcvoabers | 1744747795112000 |
| LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256) | 628bc76f-bb18-4a5b-94cb-8004fad266bc | rrqefsxymripcvoabers | 1744747795112000 |
| LOG            | connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                                 | 7ef5f6da-8309-41fa-bfdd-857eb9774ae2 | rrqefsxymripcvoabers | 1744747795106000 |
| LOG            | connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)       | b6db5afc-7831-4a41-bb49-e41d16af104f | rrqefsxymripcvoabers | 1744747795106000 |
| LOG            | connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                                 | be219520-9fa6-4b6d-94f4-9406f014c373 | rrqefsxymripcvoabers | 1744747795104000 |
| LOG            | connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                                 | 290953ca-0efb-4fd8-a456-75b85bc48d6c | rrqefsxymripcvoabers | 1744747795104000 |
| LOG            | connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)       | 613fc2c8-1d59-4139-96d2-e63ceadf40cf | rrqefsxymripcvoabers | 1744747795104000 |
| LOG            | connection authorized: user=postgres database=postgres application_name=postgres-meta 0.0.0-automated SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)       | 3ce8b8b6-57cc-40a7-a4ef-836e76e174d1 | rrqefsxymripcvoabers | 1744747795104000 |
| LOG            | connection received: host=2600:1f18:2a66:6e01:9221:80f7:fe00:5092 port=37400                                                                                                        | ca59f5f7-ee9b-4fcf-b7e6-dcd0d2f5499b | rrqefsxymripcvoabers | 1744747794670000 |
| LOG            | connection received: host=2600:1f18:2a66:6e00:6651:31c5:6bd3:927e port=43182                                                                                                        | 661765b5-b2da-4fc0-b52b-b0d29006becd | rrqefsxymripcvoabers | 1744747794668000 |
| LOG            | connection received: host=2600:1f18:2a66:6e01:265e:f39b:4ad3:f151 port=57902                                                                                                        | e6c554eb-1b96-4c03-95e0-9c5d084f02e8 | rrqefsxymripcvoabers | 1744747794542000 |
| LOG            | connection received: host=2600:1f18:2a66:6e00:8c61:5bab:92cb:3de0 port=41112                                                                                                        | a630fae3-dc91-4b76-992d-f973e0c0c009 | rrqefsxymripcvoabers | 1744747794526000 |
| LOG            | connection received: host=2600:1f18:2a66:6e00:8c61:5bab:92cb:3de0 port=41108                                                                                                        | d3dc2156-d399-425c-9cce-6d2cdc48dd50 | rrqefsxymripcvoabers | 1744747794526000 |
| LOG            | connection received: host=2600:1f18:2a66:6e00:8c61:5bab:92cb:3de0 port=41106                                                                                                        | 2b3efc0e-7b47-4363-b8e1-399d6db623d3 | rrqefsxymripcvoabers | 1744747794522000 |
| LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter                                                                                     | 3bd29ae5-8d3b-4b36-bc16-0389aedb03da | rrqefsxymripcvoabers | 1744747779899000 |
| LOG            | connection received: host=::1 port=60507                                                                                                                                            | 874d5ea2-bff2-4618-8a02-04067e0eb430 | rrqefsxymripcvoabers | 1744747779898000 |
| ERROR          | new row violates row-level security policy for table "users"                                                                                                                        | 22189393-8eda-4171-a862-49b9125fdadb | rrqefsxymripcvoabers | 1744747752150000 |
| LOG            | connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)                      | 21dc4d79-a7ee-48c8-81ab-a401211920eb | rrqefsxymripcvoabers | 1744747752144000 |
| LOG            | connection authorized: user=supabase_auth_admin database=postgres                                                                                                                   | a36d09f8-9b14-4832-a29f-8293515df4a6 | rrqefsxymripcvoabers | 1744747750771000 |
