| event_message                                                                                                                                                   | id                                   | identifier           | method | path                                                      | status_code | timestamp        |
| --------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------ | -------------------- | ------ | --------------------------------------------------------- | ----------- | ---------------- |
| DELETE | 404 | 34.29.52.147 | 930e7dc9ac9cf851 | https://rrqefsxymripcvoabers.supabase.co/auth/v1/admin/users/8473b86b-3319-47ba-8927-a70e939f1670 | node       | 9753ca6d-346e-428c-a116-87bcaa9f6c05 | rrqefsxymripcvoabers | DELETE | /auth/v1/admin/users/8473b86b-3319-47ba-8927-a70e939f1670 | 404         | 1744752073401000 |
| POST | 404 | 34.29.52.147 | 930e67c2ee9cf85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | adaa7197-1142-4da5-81a4-11f6eedc8d0c | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751171433000 |
| POST | 404 | 34.29.52.147 | 930e67c02dd1f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 124aa09b-2878-4849-b3df-6ebefb435c5b | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751171002000 |
| POST | 404 | 34.29.52.147 | 930e67bf2a9cf85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 946bff66-c190-40da-9668-2f436b1feccc | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751170570000 |
| POST | 404 | 34.29.52.147 | 930e67bc7a48f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 4fd0622f-7314-48f6-bc25-1937454dbfb8 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751170407000 |
| POST | 404 | 34.29.52.147 | 930e67b9c8e3f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | 358b7ec9-8995-41a5-82bd-a454be2d8fb7 | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751169979000 |
| GET | 200 | 34.29.52.147 | 930e67b6fe86f85e | https://rrqefsxymripcvoabers.supabase.co/rest/v1/users?select=count&limit=1 | node                                | 4a9dfa74-2902-4c1b-8b4a-83c61e28cfe2 | rrqefsxymripcvoabers | GET    | /rest/v1/users                                            | 200         | 1744751169531000 |
| GET | 200 | 34.29.52.147 | 930e67b0bdef1116 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/service_categories?select=* | node                               | 991ff10c-f761-4458-a7ea-92d2d46508f7 | rrqefsxymripcvoabers | GET    | /rest/v1/service_categories                               | 200         | 1744751168552000 |
| GET | 200 | 34.29.52.147 | 930e67b0b9a1639c | https://rrqefsxymripcvoabers.supabase.co/rest/v1/services?select=*%2Cservice_categories%28*%29 | node             | b0a4af7a-8381-4822-910e-20bc5f1d73a1 | rrqefsxymripcvoabers | GET    | /rest/v1/services                                         | 200         | 1744751168533000 |
| POST | 404 | 34.29.52.147 | 930e678c4c7a11a3 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | a4bb8a3b-9525-4f1a-a991-2b1f0ece4a9a | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751162711000 |
| POST | 404 | 34.29.52.147 | 930e678b3b6511a3 | https://rrqefsxymripcvoabers.supabase.co/rest/v1/rpc/exec | node                                                 | f3e1e2fd-c7f5-4e09-9375-820bb2a87c9c | rrqefsxymripcvoabers | POST   | /rest/v1/rpc/exec                                         | 404         | 1744751162265000 |
